CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to create lock object: 797ns
time to acquire read lock : 74.944249ms
time to release read lock : 38.837494ms
time to acquire read lock : 98.928614ms
time to release read lock : 34.017617ms
time to acquire read lock : 78.038482ms
time to release read lock : 48.286129ms
time to acquire read lock : 104.756668ms
time to release read lock : 41.134976ms
time to acquire read lock : 220.482255ms
time to release read lock : 60.94968ms
time to acquire read lock : 181.807451ms
time to release read lock : 49.17674ms
time to acquire read lock : 112.637314ms
time to release read lock : 39.534703ms
time to acquire read lock : 120.226501ms
time to release read lock : 60.44099ms
time to acquire read lock : 87.278492ms
time to release read lock : 68.83524ms
time to acquire read lock : 89.207225ms
time to release read lock : 60.472372ms
time to acquire read lock : 119.155026ms
time to release read lock : 48.575656ms
time to acquire read lock : 136.270923ms
time to release read lock : 56.226538ms
time to acquire read lock : 74.62999ms
time to release read lock : 55.370328ms
time to acquire read lock : 149.526472ms
time to release read lock : 57.455873ms
time to acquire read lock : 172.721423ms
time to release read lock : 55.541556ms
time to acquire read lock : 129.064462ms
time to release read lock : 97.082145ms
time to acquire read lock : 136.251777ms
time to release read lock : 61.520201ms
time to acquire read lock : 113.906022ms
time to release read lock : 30.676503ms
time to acquire read lock : 88.265204ms
time to release read lock : 53.379514ms
time to acquire read lock : 166.7405ms
time to release read lock : 89.988237ms
time to acquire read lock : 136.309891ms
time to release read lock : 76.33204ms
time to acquire read lock : 83.220198ms
time to release read lock : 57.667861ms
time to acquire read lock : 76.618886ms
time to release read lock : 57.446854ms
time to acquire read lock : 121.454036ms
time to release read lock : 76.27167ms
time to acquire read lock : 228.751264ms
time to release read lock : 75.766049ms
time to acquire read lock : 117.403611ms
time to release read lock : 41.801195ms
time to acquire read lock : 114.993554ms
time to release read lock : 64.830178ms
time to acquire read lock : 117.725736ms
time to release read lock : 65.165886ms
time to acquire read lock : 141.322884ms
time to release read lock : 42.928618ms
time to acquire read lock : 131.086048ms
time to release read lock : 60.732665ms
time to acquire read lock : 76.493288ms
time to release read lock : 58.743521ms
time to acquire read lock : 169.498453ms
time to release read lock : 60.296775ms
time to acquire read lock : 146.380144ms
time to release read lock : 55.679427ms
time to acquire read lock : 136.814994ms
time to release read lock : 63.976842ms
time to acquire read lock : 133.187023ms
time to release read lock : 31.976129ms
time to acquire read lock : 75.746253ms
time to release read lock : 32.243613ms
time to acquire read lock : 105.443034ms
time to release read lock : 42.840626ms
time to acquire read lock : 94.583367ms
time to release read lock : 44.137003ms
time to acquire read lock : 96.197771ms
time to release read lock : 41.25434ms
time to acquire read lock : 83.366251ms
time to release read lock : 48.602552ms
time to acquire read lock : 73.545137ms
time to release read lock : 145.380934ms
time to acquire read lock : 89.246229ms
time to release read lock : 63.886972ms
time to acquire read lock : 183.20106ms
time to release read lock : 56.183106ms
time to acquire read lock : 118.415704ms
time to release read lock : 39.394607ms
time to acquire read lock : 138.43787ms
time to release read lock : 61.934636ms
time to acquire read lock : 158.62263ms
time to release read lock : 46.710615ms
time to acquire read lock : 99.782503ms
time to release read lock : 62.714466ms
time to acquire read lock : 115.680161ms
time to release read lock : 34.940572ms
time to acquire read lock : 100.764496ms
time to release read lock : 39.542416ms
time to acquire read lock : 93.967306ms
time to release read lock : 42.147419ms
time to acquire read lock : 113.874769ms
time to release read lock : 37.568289ms
time to acquire read lock : 110.640911ms
time to release read lock : 49.589337ms
time to acquire read lock : 103.789744ms
time to release read lock : 68.532788ms
time to acquire read lock : 77.062434ms
time to release read lock : 36.516473ms
time to acquire read lock : 62.391992ms
time to release read lock : 64.868571ms
time to acquire read lock : 92.933569ms
time to release read lock : 47.075746ms
time to acquire read lock : 99.620074ms
time to release read lock : 35.90054ms
time to acquire read lock : 132.150025ms
time to release read lock : 20.221555ms
time to acquire read lock : 107.955224ms
time to release read lock : 39.17863ms
time to acquire read lock : 94.225879ms
time to release read lock : 49.777114ms
time to acquire read lock : 104.691148ms
time to release read lock : 122.692033ms
time to acquire read lock : 122.585816ms
time to release read lock : 43.272337ms
time to acquire read lock : 159.094803ms
time to release read lock : 61.336135ms
time to acquire read lock : 175.74473ms
time to release read lock : 45.651736ms
time to acquire read lock : 92.661212ms
time to release read lock : 43.560559ms
time to acquire read lock : 79.55482ms
time to release read lock : 34.485089ms
time to acquire read lock : 67.103407ms
time to release read lock : 34.464655ms
time to acquire read lock : 68.126475ms
time to release read lock : 44.885089ms
time to acquire read lock : 93.040024ms
time to release read lock : 42.635934ms
time to acquire read lock : 88.51013ms
time to release read lock : 48.644123ms
time to acquire read lock : 106.287882ms
time to release read lock : 46.245446ms
time to acquire read lock : 85.066907ms
time to release read lock : 42.433378ms
time to acquire read lock : 106.70823ms
time to release read lock : 55.189449ms
time to acquire read lock : 107.721931ms
time to release read lock : 37.173441ms
time to acquire read lock : 106.072758ms
time to release read lock : 55.101158ms
time to acquire read lock : 96.358944ms
time to release read lock : 32.540758ms
time to acquire read lock : 121.23468ms
time to release read lock : 51.42015ms
time to acquire read lock : 151.766632ms
time to release read lock : 62.655524ms
time to acquire read lock : 109.203068ms
time to release read lock : 38.672147ms
time to acquire read lock : 73.134695ms
time to release read lock : 53.655575ms
time to acquire read lock : 118.577702ms
time to release read lock : 76.967278ms
time to acquire read lock : 112.535336ms
time to release read lock : 39.447627ms
time to acquire read lock : 112.127583ms
time to release read lock : 51.050606ms
time to acquire read lock : 74.950634ms
time to release read lock : 51.245638ms
time to acquire read lock : 72.810491ms
time to release read lock : 43.000001ms
time to acquire read lock : 74.268671ms
time to release read lock : 29.361125ms
time to acquire read lock : 91.187501ms
time to release read lock : 30.595674ms
time to acquire read lock : 105.20838ms
time to release read lock : 39.586941ms
time to acquire read lock : 121.299559ms
time to release read lock : 113.628705ms
time to acquire read lock : 78.009593ms
time to release read lock : 37.418869ms
time to acquire read lock : 79.564664ms
time to release read lock : 32.213786ms
time to acquire read lock : 77.131446ms
time to release read lock : 30.886195ms
time to acquire read lock : 97.399405ms
time to release read lock : 30.204841ms
time to acquire read lock : 77.588806ms
time to release read lock : 35.33819ms
time to acquire read lock : 66.063872ms
time to release read lock : 29.752642ms
time to acquire read lock : 62.178031ms
time to release read lock : 47.102812ms
time to acquire read lock : 150.110654ms
time to release read lock : 33.206833ms
time to acquire read lock : 76.855835ms
time to release read lock : 70.755138ms
time to acquire read lock : 107.752305ms
time to release read lock : 36.508214ms
time to acquire read lock : 115.060706ms
time to release read lock : 66.233161ms
time to acquire read lock : 81.1643ms
time to release read lock : 33.715693ms
time to acquire read lock : 63.847662ms
time to release read lock : 20.235816ms
time to acquire read lock : 100.740542ms
time to release read lock : 24.459776ms
time to acquire read lock : 140.943056ms
time to release read lock : 49.388701ms
time to acquire read lock : 87.109162ms
time to release read lock : 74.111041ms
time to acquire read lock : 87.598638ms
time to release read lock : 42.70713ms
time to acquire read lock : 104.740982ms
time to release read lock : 41.011545ms
time to acquire read lock : 68.091095ms
time to release read lock : 36.35413ms
time to acquire read lock : 94.245292ms
time to release read lock : 142.558917ms
