CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
CREATE CLIENT
CREATE SESSION
time to acquire read lock : 142.66917ms
time to release read lock : 44.962797ms
time to acquire read lock : 88.284575ms
time to release read lock : 55.104145ms
time to acquire read lock : 65.215993ms
time to release read lock : 29.960032ms
time to acquire read lock : 79.641925ms
time to release read lock : 30.276226ms
time to acquire read lock : 105.063727ms
time to release read lock : 102.624002ms
time to acquire read lock : 130.777107ms
time to release read lock : 73.777435ms
time to acquire read lock : 166.629457ms
time to release read lock : 38.158061ms
time to acquire read lock : 138.902961ms
time to release read lock : 34.627533ms
time to acquire read lock : 77.63379ms
time to release read lock : 53.178254ms
time to acquire read lock : 115.321215ms
time to release read lock : 65.583235ms
time to acquire read lock : 291.746234ms
time to release read lock : 62.42928ms
time to acquire read lock : 139.248604ms
time to release read lock : 52.39838ms
time to acquire read lock : 83.91542ms
time to release read lock : 39.95229ms
time to acquire read lock : 109.763267ms
time to release read lock : 73.995635ms
time to acquire read lock : 116.880534ms
time to release read lock : 49.628028ms
time to acquire read lock : 115.686725ms
time to release read lock : 41.243102ms
time to acquire read lock : 126.46561ms
time to release read lock : 55.655187ms
time to acquire read lock : 96.436839ms
time to release read lock : 42.933135ms
time to acquire read lock : 125.495381ms
time to release read lock : 47.598282ms
time to acquire read lock : 91.992878ms
time to release read lock : 28.947511ms
time to acquire read lock : 110.54836ms
time to release read lock : 39.643771ms
time to acquire read lock : 84.995723ms
time to release read lock : 50.407509ms
time to acquire read lock : 163.72101ms
time to release read lock : 62.94233ms
time to acquire read lock : 91.441047ms
time to release read lock : 32.842873ms
time to acquire read lock : 140.914601ms
time to release read lock : 37.014242ms
time to acquire read lock : 72.704547ms
time to release read lock : 42.656548ms
time to acquire read lock : 61.276932ms
time to release read lock : 44.186126ms
time to acquire read lock : 76.441408ms
time to release read lock : 35.19535ms
time to acquire read lock : 93.467301ms
time to release read lock : 77.461349ms
time to acquire read lock : 70.605822ms
time to release read lock : 33.845399ms
time to acquire read lock : 88.718603ms
time to release read lock : 45.840387ms
time to acquire read lock : 94.412039ms
